System,Band,Instrument,Survey,PHOTZPT,PHOTPLAM,PHOTFLAM
SDSSJ0008-0004,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0008-0004,F814W,ACS,SLACS,-21.1,8045.1514,7.1295938e-20
SDSSJ0029-0055,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0029-0055,F814W,ACS,SLACS,-21.1,8045.1558,7.12978525e-20
SDSSJ0037-0942,F435W,ACS,SLACS,-21.1,4329.1909,3.1107419e-19
SDSSJ0037-0942,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0037-0942,F814W,ACS,SLACS,-21.1,8047.5312,6.9997962e-20
SDSSJ0151+0049,F814W,ACS,BELLS,-21.1,8045.5303,7.07025925e-20
SDSSJ0252+0039,F390W,WFC3,SLACS,-21.1,3922.2046,5.0510819375e-19
SDSSJ0252+0039,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0252+0039,F814W,ACS,SLACS,-21.1,8045.1699,7.13039365e-20
SDSSJ0330-0020,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0330-0020,F814W,ACS,SLACS,-21.1,8045.1587,7.1299043e-20
SDSSJ0728+3835,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0728+3835,F814W,ACS,SLACS,-21.1,8045.1743,7.1305854e-20
SDSSJ0737+3216,F390W,WFC3,SLACS,-21.1,3922.2046,5.04634895e-19
SDSSJ0737+3216,F555W,ACS,SLACS,-21.1,5361.0454,1.983511175e-19
SDSSJ0737+3216,F814W,ACS,SLACS,-21.1,8045.1938,7.13142345e-20
SDSSJ0747+5055,F814W,ACS,BELLS,-21.1,8045.5303,7.07152265e-20
SDSSJ0801+4727,F814W,ACS,BELLS,-21.1,8045.5303,7.06985355e-20
SDSSJ0819+4534,F435W,ACS,SLACS,-21.1,4329.2021,3.1121637e-19
SDSSJ0819+4534,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0819+4534,F814W,ACS,SLACS,-21.1,8047.5884,7.0022093e-20
SDSSJ0830+5116,F814W,ACS,BELLS,-21.1,8045.5303,7.0704662e-20
SDSSJ0903+4116,F390W,WFC3,SLACS,-21.1,3922.2046,5.04755009583333e-19
SDSSJ0903+4116,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0903+4116,F814W,ACS,SLACS,-21.1,8045.1743,7.1305835e-20
SDSSJ0912+0029,F390W,WFC3,SLACS,-21.1,3922.2046,5.0488064e-19
SDSSJ0912+0029,F435W,ACS,SLACS,-21.1,4329.1943,3.1111739e-19
SDSSJ0912+0029,F555W,ACS,SLACS,-21.1,5360.88016,1.97717384e-19
SDSSJ0912+0029,F814W,ACS,SLACS,-21.1,8045.208,7.13202119999999e-20
SDSSJ0936+0913,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ0936+0913,F814W,ACS,SLACS,-21.1,8045.2178,7.13243945e-20
SDSSJ0944-0147,F814W,ACS,BELLS,-21.1,8045.5308,7.0717383e-20
SDSSJ0959+0410,F390W,WFC3,SLACS,-21.1,3922.2046,5.04929995e-19
SDSSJ0959+0410,F555W,ACS,SLACS,-21.1,5360.2212,1.9510467e-19
SDSSJ1023+4230,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1023+4230,F814W,ACS,SLACS,-21.1,8045.1787,7.130760725e-20
SDSSJ1100+5329,F435W,ACS,SLACS,-21.1,4329.2461,3.117599e-19
SDSSJ1100+5329,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1100+5329,F814W,ACS,SLACS,-21.1,8047.8076,7.0114349e-20
SDSSJ1112+0826,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1112+0826,F814W,ACS,SLACS,-21.1,8047.9004,7.0153485e-20
SDSSJ1134+6027,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1134+6027,F814W,ACS,SLACS,-21.1,8047.8857,7.0147372e-20
SDSSJ1159-0007,F814W,ACS,BELLS,-21.1,8045.5308,7.0724763e-20
SDSSJ1204+0358,F435W,ACS,SLACS,-21.1,4329.2285,3.1154184e-19
SDSSJ1204+0358,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1204+0358,F814W,ACS,SLACS,-21.1,8047.7197,7.0077339e-20
SDSSJ1213+6708,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1213+6708,F814W,ACS,SLACS,-21.1,8045.1943,7.131436175e-20
SDSSJ1215+0047,F814W,ACS,BELLS,-21.1,8045.5308,7.0723868e-20
SDSSJ1218+0830,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1218+0830,F814W,ACS,SLACS,-21.1,8045.2456,7.13364745e-20
SDSSJ1221+3806,F814W,ACS,BELLS,-21.1,8045.5303,7.07103635e-20
SDSSJ1234-0241,F814W,ACS,BELLS,-21.1,8045.5308,7.0725658e-20
SDSSJ1250+0523,F435W,ACS,SLACS,-21.1,4329.2153,3.1137792e-19
SDSSJ1250+0523,F555W,ACS,SLACS,-21.1,5360.2197,1.9518054e-19
SDSSJ1250+0523,F814W,ACS,SLACS,-21.1,8047.8755,7.014305325e-20
SDSSJ1306+0600,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1306+0600,F814W,WFPC2,SLACS,-21.1,7998.299000000001,2.449067e-18
SDSSJ1313+4615,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1313+4615,F814W,WFPC2,SLACS,-21.1,7998.299000000001,2.449067e-18
SDSSJ1318-0104,F814W,ACS,BELLS,-21.1,8045.5308,7.072518475e-20
SDSSJ1337+3620,F814W,ACS,BELLS,-21.1,8045.5308,7.07250635e-20
SDSSJ1349+3612,F814W,ACS,BELLS,-21.1,8045.5308,7.0725151e-20
SDSSJ1352+3216,F814W,ACS,BELLS,-21.1,8045.5303,7.07019414999999e-20
SDSSJ1402+6321,F435W,ACS,SLACS,-21.1,4329.1846,3.1099727e-19
SDSSJ1402+6321,F555W,ACS,SLACS,-21.1,5360.2197,1.9517807e-19
SDSSJ1402+6321,F814W,ACS,SLACS,-21.1,8047.874,7.0142315e-20
SDSSJ1531-0105,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1531-0105,F814W,ACS,SLACS,-21.1,8047.9111,7.0157983e-20
SDSSJ1542+1629,F814W,ACS,BELLS,-21.1,8045.5308,7.07298069999999e-20
SDSSJ1545+2748,F814W,ACS,BELLS,-21.1,8045.5303,7.0697615e-20
SDSSJ1601+2138,F814W,ACS,BELLS,-21.1,8045.5308,7.073010875e-20
SDSSJ1621+3931,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1621+3931,F814W,ACS,SLACS,-21.1,8047.7505,7.0090361e-20
SDSSJ1627-0053,F390W,WFC3,SLACS,-21.1,3922.2046,5.04951471666666e-19
SDSSJ1627-0053,F555W,ACS,SLACS,-21.1,5360.2188,1.952276775e-19
SDSSJ1627-0053,F814W,ACS,SLACS,-21.1,8047.9092,7.015715725e-20
SDSSJ1630+4520,F555W,ACS,SLACS,-21.1,5360.2212,1.951084e-19
SDSSJ1630+4520,F814W,ACS,SLACS,-21.1,8047.82445,7.012149625e-20
SDSSJ1631+1854,F814W,ACS,BELLS,-21.1,8045.5303,7.069905425e-20
SDSSJ1636+4707,F435W,ACS,SLACS,-21.1,4329.1968,3.1114554e-19
SDSSJ1636+4707,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ1636+4707,F814W,ACS,SLACS,-21.1,8047.5601,7.0010079e-20
SDSSJ2125+0411,F814W,ACS,BELLS,-21.1,8045.5303,7.07011075e-20
SDSSJ2238-0754,F435W,ACS,SLACS,-21.1,4329.2207,3.1144606e-19
SDSSJ2238-0754,F555W,ACS,SLACS,-21.1,5360.2178,1.952875475e-19
SDSSJ2238-0754,F814W,ACS,SLACS,-21.1,8047.9517,7.017503675e-20
SDSSJ2300+0022,F435W,ACS,SLACS,-21.1,4329.2061,3.1126026e-19
SDSSJ2300+0022,F555W,ACS,SLACS,-21.1,5360.2178,1.9528863e-19
SDSSJ2300+0022,F814W,ACS,SLACS,-21.1,8047.952225,7.0175357e-20
SDSSJ2302-0840,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ2302-0840,F814W,ACS,SLACS,-21.1,8047.9761,7.0185357e-20
SDSSJ2303+0037,F814W,ACS,BELLS,-21.1,8045.5303,7.07022189999999e-20
SDSSJ2303+1422,F435W,ACS,SLACS,-21.1,4329.2002,3.1118959e-19
SDSSJ2303+1422,F555W,ACS,SLACS,-21.1,5360.2173,1.9531065e-19
SDSSJ2303+1422,F814W,ACS,SLACS,-21.1,8047.968175,7.01819435e-20
SDSSJ2343-0030,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ2347-0005,F606W,WFPC2,SLACS,-21.1,6001.02375,1.888331e-18
SDSSJ2347-0005,F814W,ACS,SLACS,-21.1,8047.5986,7.0026409e-20
SL2SJ0208-0714,F475X,WFC3,SL2S,-21.1,4939.0691,1.5387355e-19
SL2SJ0208-0714,F600LP,WFC3,SL2S,-21.1,7460.8884,8.666337e-20
SL2SJ0214-0405,F606W,ACS,SL2S,-21.1,5921.4424,7.8976859e-20
SL2SJ0214-0405,F814W,ACS,SL2S,-21.1,8045.1895,7.1312275e-20
SL2SJ0217-0513,F606W,ACS,SL2S,-21.1,5921.4424,7.8977693e-20
SL2SJ0217-0513,F814W,ACS,SL2S,-21.1,8045.1909,7.1312882e-20
SL2SJ0219-0829,F475X,WFC3,SL2S,-21.1,4939.0691,1.5403542e-19
SL2SJ0219-0829,F600LP,WFC3,SL2S,-21.1,7460.8884,8.6764836e-20
SL2SJ0225-0454,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0226-0406,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0226-0420,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0232-0408,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0849-0251,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0849-0412,F475X,WFC3,SL2S,-21.1,4939.0691,1.5394146e-19
SL2SJ0849-0412,F600LP,WFC3,SL2S,-21.1,7460.8884,8.6705941e-20
SL2SJ0858-0143,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0901-0259,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0904-0059,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ0959+0206,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ1358+5459,F475X,WFC3,SL2S,-21.1,4939.0691,1.538929e-19
SL2SJ1358+5459,F600LP,WFC3,SL2S,-21.1,7460.8884,8.66755035e-20
SL2SJ1358+5459,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ1359+5535,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ1401+5544,F475X,WFC3,SL2S,-21.1,4939.0691,1.53894035e-19
SL2SJ1401+5544,F600LP,WFC3,SL2S,-21.1,7460.8884,8.6676217e-20
SL2SJ1402+5505,F475X,WFC3,SL2S,-21.1,4939.0691,1.5401576e-19
SL2SJ1402+5505,F600LP,WFC3,SL2S,-21.1,7460.8884,8.6752515e-20
SL2SJ1405+5243,F475X,WFC3,SL2S,-21.1,4939.0691,1.538942e-19
SL2SJ1405+5243,F600LP,WFC3,SL2S,-21.1,7460.8884,8.66763175e-20
SL2SJ1405+5243,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ1406+5226,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ1411+5651,F475X,WFC3,SL2S,-21.1,4939.0691,1.53875545e-19
SL2SJ1411+5651,F600LP,WFC3,SL2S,-21.1,7460.8884,8.6664624e-20
SL2SJ1420+5630,F475X,WFC3,SL2S,-21.1,4939.0691,1.53954715e-19
SL2SJ1420+5630,F600LP,WFC3,SL2S,-21.1,7460.8884,8.67142515e-20
SL2SJ1427+5516,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
SL2SJ2214-1807,F606W,WFPC2,SL2S,-21.1,6001.02375,1.888331e-18
